,id,timestamp,status_alert,status
0,0,2017-06-29 07:46:01.263,ALERT. You may be at rise for heart abnormalities,1
1,1,2017-06-29 07:46:41.317,ALERT. You may be at rise for heart abnormalities,1
2,2,2017-06-29 07:47:21.370,ALERT. You may be at rise for heart abnormalities,1
3,3,2017-06-29 07:48:02.046,ALERT. You may be at rise for heart abnormalities,1
4,4,2017-06-29 07:48:42.806,ALERT. You may be at rise for heart abnormalities,1
5,5,2017-06-29 07:49:23.871,ALERT. You may be at rise for heart abnormalities,1
6,6,2017-06-29 07:50:04.595,status is good,0
7,7,2017-06-29 07:50:48.157,status is good,0
8,8,2017-06-29 07:51:33.889,status is good,0
9,9,2017-06-29 07:52:16.043,status is good,0
10,10,2017-06-29 07:52:58.547,status is good,0
11,11,2017-06-29 07:53:41.656,status is good,0
12,12,2017-06-29 07:54:21.791,status is good,0
13,13,2017-06-29 07:55:12.297,status is good,0
14,14,2017-06-29 07:55:53.409,status is good,0
15,15,2017-06-29 07:56:37.123,status is good,0
16,16,2017-06-29 07:57:30.614,status is good,0
17,17,2017-06-29 07:58:21.066,status is good,0
18,18,2017-06-29 07:59:06.341,status is good,0
19,19,2017-06-29 08:00:09.999,status is good,0
20,20,2017-06-29 08:00:58.769,status is good,0
21,21,2017-06-29 08:02:49.084,status is good,0
22,22,2017-06-29 08:04:01.050,status is good,0
23,23,2017-06-29 08:08:28.142,status is good,0
24,24,2017-06-29 08:09:08.210,status is good,0
25,25,2017-06-29 08:09:48.267,status is good,0
26,26,2017-06-29 08:10:29.274,status is good,0
27,27,2017-06-29 08:11:10.670,status is good,0
28,28,2017-06-29 08:11:57.064,status is good,0
29,29,2017-06-29 08:12:48.483,status is good,0
30,30,2017-06-29 08:14:28.505,status is good,0
31,31,2017-06-29 08:15:13.062,status is good,0
32,32,2017-06-29 08:15:58.604,status is good,0
33,33,2017-06-29 08:16:41.412,status is good,0
34,34,2017-06-29 08:17:24.923,status is good,0
35,35,2017-06-29 08:18:06.156,status is good,0
36,36,2017-06-29 08:18:59.328,status is good,0
37,37,2017-06-29 08:19:47.521,status is good,0
38,38,2017-06-29 08:20:38.547,status is good,0
39,39,2017-06-29 08:21:23.672,status is good,0
40,40,2017-06-29 08:22:04.865,status is good,0
41,41,2017-06-29 08:22:57.504,status is good,0
42,42,2017-06-29 08:23:44.607,status is good,0
43,43,2017-06-29 08:24:27.156,status is good,0
44,44,2017-06-29 08:25:09.179,status is good,0
45,45,2017-06-29 08:25:49.526,status is good,0
46,46,2017-06-29 08:26:31.879,status is good,0
47,47,2017-06-29 08:27:17.030,status is good,0
48,48,2017-06-29 08:27:58.928,status is good,0
49,49,2017-06-29 08:28:44.851,status is good,0
50,50,2017-06-29 08:29:27.190,status is good,0
51,51,2017-06-29 08:30:07.560,status is good,0
52,52,2017-06-29 08:30:58.350,status is good,0
53,53,2017-06-29 08:32:48.906,status is good,0
54,54,2017-06-29 09:02:01.485,status is good,0
55,55,2017-06-29 09:02:41.725,status is good,0
56,56,2017-06-29 09:04:57.253,status is good,0
57,57,2017-06-29 09:05:39.254,status is good,0
58,58,2017-06-29 09:06:20.228,status is good,0
59,59,2017-06-29 09:07:01.191,status is good,0
60,60,2017-06-29 09:07:55.887,status is good,0
61,61,2017-06-29 09:11:56.776,status is good,0
62,62,2017-06-29 09:12:47.014,status is good,0
63,63,2017-06-29 09:34:00.590,status is good,0
64,64,2017-06-29 09:34:41.229,status is good,0
65,65,2017-06-29 09:35:39.402,status is good,0
66,66,2017-06-29 09:36:26.892,status is good,0
67,67,2017-06-29 09:37:13.987,status is good,0
68,68,2017-06-29 09:37:55.344,status is good,0
69,69,2017-06-29 09:38:37.672,status is good,0
70,70,2017-06-29 09:39:17.841,status is good,0
71,71,2017-06-29 09:39:59.394,status is good,0
72,72,2017-06-29 09:40:45.714,status is good,0
73,73,2017-06-29 09:41:28.780,status is good,0
74,74,2017-06-29 09:42:09.408,status is good,0
75,75,2017-06-29 09:42:52.094,status is good,0
76,76,2017-06-29 09:43:46.973,status is good,0
77,77,2017-06-29 09:44:30.107,status is good,0
78,78,2017-06-29 09:45:12.452,status is good,0
79,79,2017-06-29 09:45:55.336,status is good,0
80,80,2017-06-29 09:46:35.687,status is good,0
81,81,2017-06-29 09:47:19.276,status is good,0
82,82,2017-06-29 09:47:59.403,status is good,0
83,83,2017-06-29 09:48:39.486,status is good,0
84,84,2017-06-29 09:49:21.860,status is good,0
85,85,2017-06-29 09:50:12.594,status is good,0
86,86,2017-06-29 09:50:56.703,status is good,0
87,87,2017-06-29 09:51:38.458,status is good,0
88,88,2017-06-29 09:52:22.198,status is good,0
89,89,2017-06-29 09:53:03.356,status is good,0
90,90,2017-06-29 09:53:45.183,status is good,0
91,91,2017-06-29 09:54:30.623,status is good,0
92,92,2017-06-29 09:55:24.911,status is good,0
93,93,2017-06-29 09:56:06.205,status is good,0
94,94,2017-06-29 09:56:49.410,status is good,0
95,95,2017-06-29 09:57:34.627,status is good,0
96,96,2017-06-29 09:58:15.000,status is good,0
97,97,2017-06-29 09:59:23.618,status is good,0
98,98,2017-06-29 10:01:23.310,status is good,0
99,99,2017-06-29 10:02:03.526,status is good,0
100,100,2017-06-29 10:02:46.882,status is good,0
101,101,2017-06-29 10:03:29.428,status is good,0
102,102,2017-06-29 10:04:34.735,status is good,0
103,103,2017-06-29 10:05:20.051,status is good,0
104,104,2017-06-29 10:06:07.348,status is good,0
105,105,2017-06-29 10:06:48.501,status is good,0
106,106,2017-06-29 10:07:28.881,status is good,0
107,107,2017-06-29 10:09:01.512,status is good,0
108,108,2017-06-29 10:09:47.852,status is good,0
109,109,2017-06-29 10:10:29.390,status is good,0
110,110,2017-06-29 10:11:11.093,status is good,0
111,111,2017-06-29 10:11:54.694,status is good,0
112,112,2017-06-29 10:13:51.434,status is good,0
113,113,2017-06-29 10:16:29.451,status is good,0
114,114,2017-06-29 10:17:15.181,status is good,0
115,115,2017-06-29 10:17:56.339,status is good,0
116,116,2017-06-29 10:18:38.728,status is good,0
117,117,2017-06-29 10:19:20.868,status is good,0
118,118,2017-06-29 10:20:02.514,status is good,0
119,119,2017-06-29 10:20:58.844,status is good,0
120,120,2017-06-29 10:21:41.239,status is good,0
121,121,2017-06-29 10:22:28.677,status is good,0
122,122,2017-06-29 10:23:17.078,status is good,0
123,123,2017-06-29 10:23:58.366,status is good,0
124,124,2017-06-29 10:24:43.534,status is good,0
125,125,2017-06-29 10:26:01.101,status is good,0
126,126,2017-06-29 11:04:00.988,status is good,0
127,127,2017-06-29 11:06:09.040,status is good,0
128,128,2017-06-29 11:06:56.057,status is good,0
129,129,2017-06-29 11:07:37.118,status is good,0
130,130,2017-06-29 11:08:17.235,status is good,0
131,131,2017-06-29 11:08:57.610,status is good,0
132,132,2017-06-29 11:09:41.245,status is good,0
133,133,2017-06-29 11:10:22.732,status is good,0
134,134,2017-06-29 11:11:03.054,status is good,0
135,135,2017-06-29 11:16:52.825,status is good,0
136,136,2017-06-29 11:17:38.916,status is good,0
137,137,2017-06-29 11:18:21.164,status is good,0
138,138,2017-06-29 11:19:18.703,status is good,0
139,139,2017-06-29 11:24:49.788,status is good,0
140,140,2017-06-29 11:25:31.230,status is good,0
141,141,2017-06-29 11:27:01.071,status is good,0
142,142,2017-06-29 11:27:47.219,status is good,0
143,143,2017-06-29 11:28:32.418,status is good,0
144,144,2017-06-29 11:31:04.458,status is good,0
145,145,2017-06-29 11:31:50.132,status is good,0
146,146,2017-06-29 11:33:01.110,status is good,0
147,147,2017-06-29 11:51:21.574,status is good,0
148,148,2017-06-29 11:54:16.781,status is good,0
149,149,2017-06-29 11:54:59.447,status is good,0
150,150,2017-06-29 11:55:41.607,status is good,0
151,151,2017-06-29 11:56:21.985,status is good,0
152,152,2017-06-29 12:45:17.246,status is good,0
153,153,2017-06-29 12:45:59.151,status is good,0
154,154,2017-06-29 12:46:41.432,status is good,0
155,155,2017-06-29 12:48:18.433,status is good,0
156,156,2017-06-29 12:48:59.802,status is good,0
157,157,2017-06-29 12:50:02.139,status is good,0
158,158,2017-06-29 13:07:07.949,status is good,0
159,159,2017-06-29 13:07:51.877,status is good,0
160,160,2017-06-29 13:09:34.614,status is good,0
161,161,2017-06-29 13:10:18.869,status is good,0
162,162,2017-06-29 13:11:02.276,status is good,0
163,163,2017-06-29 13:11:42.598,status is good,0
164,164,2017-06-29 13:12:28.089,status is good,0
165,165,2017-06-29 13:13:13.406,status is good,0
166,166,2017-06-29 13:14:02.902,status is good,0
167,167,2017-06-29 13:14:42.952,status is good,0
168,168,2017-06-29 13:15:24.348,status is good,0
169,169,2017-06-29 13:16:05.910,status is good,0
170,170,2017-06-29 13:16:47.875,status is good,0
171,171,2017-06-29 13:19:08.854,status is good,0
172,172,2017-06-29 13:23:53.946,status is good,0
173,173,2017-06-29 13:27:12.567,status is good,0
174,174,2017-06-29 13:28:07.042,status is good,0
175,175,2017-06-29 13:28:47.162,status is good,0
176,176,2017-06-29 13:29:30.626,status is good,0
177,177,2017-06-29 13:30:11.197,status is good,0
178,178,2017-06-29 13:31:01.163,status is good,0
179,179,2017-06-29 13:53:01.311,status is good,0
180,180,2017-06-29 13:54:50.060,status is good,0
181,181,2017-06-29 13:56:01.168,status is good,0
182,182,2017-06-29 13:57:00.264,status is good,0
183,183,2017-06-29 13:57:42.023,status is good,0
184,184,2017-06-29 13:58:23.541,status is good,0
185,185,2017-06-29 13:59:03.562,status is good,0
186,186,2017-06-29 13:59:44.891,status is good,0
187,187,2017-06-29 14:00:33.312,status is good,0
188,188,2017-06-29 14:01:25.641,status is good,0
189,189,2017-06-29 14:02:05.975,status is good,0
190,190,2017-06-29 14:02:46.350,status is good,0
191,191,2017-06-29 14:03:40.487,status is good,0
192,192,2017-06-29 14:30:37.307,status is good,0
193,193,2017-06-29 14:31:20.199,status is good,0
194,194,2017-06-29 14:32:03.843,status is good,0
195,195,2017-06-29 14:32:44.870,status is good,0
196,196,2017-06-29 14:33:58.697,status is good,0
197,197,2017-06-29 14:34:43.494,status is good,0
198,198,2017-06-29 14:35:27.099,status is good,0
199,199,2017-06-29 14:37:04.357,status is good,0
200,200,2017-06-29 14:38:59.579,status is good,0
201,201,2017-06-29 14:39:54.335,status is good,0
202,202,2017-06-29 15:14:58.341,status is good,0
203,203,2017-06-29 15:17:43.974,status is good,0
204,204,2017-06-29 15:47:08.527,status is good,0
205,205,2017-06-29 15:47:54.828,status is good,0
206,206,2017-06-29 15:51:55.505,status is good,0
207,207,2017-06-29 15:52:45.625,status is good,0
208,208,2017-06-29 16:28:43.489,status is good,0
209,209,2017-06-29 16:31:15.003,status is good,0
210,210,2017-06-29 16:31:59.872,status is good,0
211,211,2017-06-29 17:06:16.381,status is good,0
212,212,2017-06-29 17:06:56.769,status is good,0
213,213,2017-06-29 17:07:55.165,status is good,0
214,214,2017-06-29 17:44:01.324,status is good,0
215,215,2017-06-29 17:44:41.413,status is good,0
216,216,2017-06-29 17:45:39.588,status is good,0
217,217,2017-06-29 17:47:02.451,status is good,0
218,218,2017-06-29 18:19:03.450,status is good,0
219,219,2017-06-29 18:22:01.297,status is good,0
220,220,2017-06-29 18:50:08.837,status is good,0
221,221,2017-06-29 18:50:58.923,status is good,0
222,222,2017-06-29 18:51:41.275,status is good,0
223,223,2017-06-29 18:52:21.640,status is good,0
224,224,2017-06-29 18:53:10.202,status is good,0
225,225,2017-06-29 18:53:53.491,status is good,0
226,226,2017-06-29 18:54:41.772,status is good,0
227,227,2017-06-29 18:55:22.118,status is good,0
228,228,2017-06-29 18:56:12.399,status is good,0
229,229,2017-06-29 18:56:52.761,status is good,0
230,230,2017-06-29 18:57:34.313,status is good,0
231,231,2017-06-29 18:58:15.258,status is good,0
232,232,2017-06-29 18:58:55.660,status is good,0
233,233,2017-06-29 18:59:37.415,status is good,0
234,234,2017-06-29 19:00:20.366,status is good,0
235,235,2017-06-29 19:01:03.880,status is good,0
236,236,2017-06-29 19:01:45.007,status is good,0
237,237,2017-06-29 19:03:06.134,status is good,0
238,238,2017-06-29 19:03:49.706,status is good,0
239,239,2017-06-29 19:04:37.191,status is good,0
240,240,2017-06-29 19:05:20.528,status is good,0
241,241,2017-06-29 19:06:03.862,status is good,0
242,242,2017-06-29 19:06:53.135,status is good,0
243,243,2017-06-29 19:07:37.297,status is good,0
244,244,2017-06-29 19:08:20.598,status is good,0
245,245,2017-06-29 19:09:01.940,status is good,0
246,246,2017-06-29 19:09:44.300,status is good,0
247,247,2017-06-29 19:10:48.806,status is good,0
248,248,2017-06-29 19:11:34.120,status is good,0
249,249,2017-06-29 19:12:22.600,status is good,0
250,250,2017-06-29 19:13:04.135,status is good,0
251,251,2017-06-29 19:15:01.333,status is good,0
252,252,2017-06-29 19:23:00.159,status is good,0
253,253,2017-06-29 19:23:40.169,status is good,0
254,254,2017-06-29 19:24:32.013,status is good,0
255,255,2017-06-29 19:25:23.948,status is good,0
256,256,2017-06-29 19:28:11.155,status is good,0
257,257,2017-06-29 19:31:32.862,status is good,0
258,258,2017-06-29 19:32:13.075,status is good,0
259,259,2017-06-29 19:32:53.227,status is good,0
260,260,2017-06-29 19:33:37.751,status is good,0
261,261,2017-06-29 19:34:21.092,status is good,0
262,262,2017-06-29 19:35:05.221,status is good,0
263,263,2017-06-29 19:35:53.709,status is good,0
264,264,2017-06-29 19:36:34.867,status is good,0
265,265,2017-06-29 19:37:16.228,status is good,0
266,266,2017-06-29 19:38:19.710,status is good,0
267,267,2017-06-29 19:39:08.947,status is good,0
268,268,2017-06-29 19:39:54.247,status is good,0
269,269,2017-06-29 19:40:34.736,status is good,0
270,270,2017-06-29 19:41:18.052,status is good,0
271,271,2017-06-29 19:42:01.393,status is good,0
272,272,2017-06-29 19:42:42.855,status is good,0
273,273,2017-06-29 19:43:22.870,status is good,0
274,274,2017-06-29 19:44:06.410,status is good,0
275,275,2017-06-29 19:44:46.584,status is good,0
276,276,2017-06-29 19:45:26.753,status is good,0
277,277,2017-06-29 19:46:07.360,status is good,0
278,278,2017-06-29 19:46:48.325,status is good,0
279,279,2017-06-29 19:47:28.389,status is good,0
280,280,2017-06-29 19:48:56.855,status is good,0
281,281,2017-06-29 19:49:48.984,status is good,0
282,282,2017-06-29 19:52:01.438,status is good,0
283,283,2017-06-29 20:34:14.602,status is good,0
284,284,2017-06-29 20:34:58.932,status is good,0
285,285,2017-06-29 20:35:43.288,status is good,0
286,286,2017-06-29 20:36:23.735,status is good,0
287,287,2017-06-29 20:37:07.117,status is good,0
288,288,2017-06-29 20:39:01.324,status is good,0
289,289,2017-06-29 20:40:37.811,status is good,0
290,290,2017-06-29 20:42:01.325,status is good,0
291,291,2017-06-29 20:42:44.131,status is good,0
292,292,2017-06-29 20:46:48.772,status is good,0
293,293,2017-06-29 20:47:32.046,status is good,0
294,294,2017-06-29 20:49:24.768,status is good,0
295,295,2017-06-29 21:00:06.138,status is good,0
296,296,2017-06-29 21:00:50.002,status is good,0
297,297,2017-06-29 21:02:38.058,status is good,0
298,298,2017-06-29 21:05:58.976,status is good,0
299,299,2017-06-29 21:07:53.195,status is good,0
300,300,2017-06-29 21:08:34.336,status is good,0
301,301,2017-06-29 21:09:18.664,status is good,0
302,302,2017-06-29 21:09:59.247,status is good,0
303,303,2017-06-29 21:10:43.592,status is good,0
304,304,2017-06-29 21:11:26.145,status is good,0
305,305,2017-06-29 21:12:21.445,status is good,0
306,306,2017-06-29 21:13:03.501,status is good,0
307,307,2017-06-29 21:13:43.725,status is good,0
308,308,2017-06-29 21:14:26.250,status is good,0
309,309,2017-06-29 21:15:30.819,status is good,0
310,310,2017-06-29 21:16:13.006,status is good,0
311,311,2017-06-29 21:16:58.285,status is good,0
312,312,2017-06-29 21:17:38.667,status is good,0
313,313,2017-06-29 21:18:22.063,status is good,0
314,314,2017-06-29 21:19:02.240,status is good,0
315,315,2017-06-29 21:19:43.559,status is good,0
316,316,2017-06-29 21:20:25.233,status is good,0
317,317,2017-06-29 21:21:09.454,status is good,0
318,318,2017-06-29 21:21:50.785,status is good,0
319,319,2017-06-29 21:22:31.158,status is good,0
320,320,2017-06-29 21:23:11.842,status is good,0
321,321,2017-06-29 21:23:52.027,status is good,0
322,322,2017-06-29 21:24:32.567,status is good,0
323,323,2017-06-29 21:25:21.429,status is good,0
324,324,2017-06-29 21:26:03.525,status is good,0
325,325,2017-06-29 21:27:01.336,status is good,0
326,326,2017-06-29 21:27:49.418,status is good,0
327,327,2017-06-29 21:30:01.330,status is good,0
328,328,2017-06-29 21:32:18.927,status is good,0
329,329,2017-06-29 21:33:03.892,status is good,0
330,330,2017-06-29 21:35:01.348,status is good,0
331,331,2017-06-29 22:04:39.957,status is good,0
332,332,2017-06-30 08:51:56.232,status is good,0
333,333,2017-06-30 08:52:40.731,status is good,0
334,334,2017-06-30 08:53:27.410,status is good,0
335,335,2017-06-30 08:54:13.718,status is good,0
336,336,2017-06-30 08:54:53.989,status is good,0
337,337,2017-06-30 08:57:19.418,status is good,0
338,338,2017-06-30 08:58:06.434,status is good,0
339,339,2017-06-30 08:59:01.546,status is good,0
340,340,2017-06-30 09:39:09.208,status is good,0
341,341,2017-06-30 09:39:54.375,status is good,0
342,342,2017-06-30 09:40:54.733,status is good,0
343,343,2017-06-30 09:41:35.090,status is good,0
344,344,2017-06-30 09:42:16.448,status is good,0
345,345,2017-06-30 09:42:57.720,status is good,0
346,346,2017-06-30 09:43:55.080,status is good,0
347,347,2017-06-30 09:44:38.415,status is good,0
348,348,2017-06-30 09:45:48.564,status is good,0
349,349,2017-06-30 09:46:45.533,status is good,0
350,350,2017-06-30 09:47:33.930,status is good,0
351,351,2017-06-30 09:49:12.050,status is good,0
352,352,2017-06-30 09:49:54.027,status is good,0
353,353,2017-06-30 09:50:36.178,status is good,0
354,354,2017-06-30 09:51:23.663,status is good,0
355,355,2017-06-30 09:52:07.025,status is good,0
356,356,2017-06-30 09:52:49.615,status is good,0
357,357,2017-06-30 09:55:08.290,status is good,0
358,358,2017-06-30 09:56:03.069,status is good,0
359,359,2017-06-30 09:56:53.303,status is good,0
360,360,2017-06-30 09:57:35.723,status is good,0
361,361,2017-06-30 09:59:01.583,status is good,0
362,362,2017-06-30 10:10:24.713,status is good,0
363,363,2017-06-30 10:11:09.205,status is good,0
364,364,2017-06-30 10:11:58.807,status is good,0
365,365,2017-06-30 10:12:40.417,status is good,0
366,366,2017-06-30 10:13:22.188,status is good,0
